,imdbID,rated,rating,title,votes
0,tt0092067,PG,8.0,Castle in the Sky (1986),"129,629"
1,tt0095327,Not Rated,8.5,Grave of the Fireflies (1988),"200,811"
2,tt0096283,G,8.2,My Neighbor Totoro (1988),"242,368"
3,tt0097814,G,7.9,Kiki's Delivery Service (1989),"100,810"
4,tt0102587,PG,7.7,Omohide poro poro (1991),"19,930"
5,tt0104652,PG,7.8,Porco Rosso (1992),"62,520"
6,tt0108432,PG-13,6.8,Ocean Waves (1993),"7,794"
7,tt0110008,PG,7.3,Heisei tanuki gassen ponpoko (1994),"19,778"
8,tt0113824,G,8.0,Mimi wo sumaseba (1995),"41,278"
9,tt0119698,PG-13,8.4,Princess Mononoke (1997),"298,964"
10,tt0206013,PG,7.2,Hôhokekyo tonari no Yamada-kun (1999),"9,049"
11,tt0245429,PG,8.6,Spirited Away (2001),"566,598"
12,tt0347618,G,7.3,Neko no ongaeshi (2002),"39,849"
13,tt0347149,PG,8.2,Howl's Moving Castle (2004),"286,663"
14,tt0495596,PG-13,6.5,Gedo senki (2006),"29,040"
15,tt0876563,G,7.7,Ponyo (2008),"108,603"
16,tt1568921,G,7.6,Arrietty (2010),"69,071"
17,tt1798188,PG,7.4,From Up on Poppy Hill (2011),"26,976"
18,tt2013293,PG-13,7.8,Kaze tachinu (2013),"61,808"
19,tt2576852,PG,8.0,Kaguyahime no monogatari (2013),"29,624"
20,tt3398268,PG,7.7,Omoide no Mânî (2014),"25,112"
